,year,min_acousticness,max_acousticness,avg_acousticness,wavg_acousticness,min_danceability,max_danceability,avg_danceability,wavg_danceability,min_duration_ms,max_duration_ms,avg_duration_ms,wavg_duration_ms,min_energy,max_energy,avg_energy,wavg_energy,min_instrumentalness,max_instrumentalness,avg_instrumentalness,wavg_instrumentalness,min_key,max_key,avg_key,wavg_key,min_liveness,max_liveness,avg_liveness,wavg_liveness,min_loudness,max_loudness,avg_loudness,wavg_loudness,min_mode,max_mode,avg_mode,wavg_mode,min_speechiness,max_speechiness,avg_speechiness,wavg_speechiness,min_tempo,max_tempo,avg_tempo,wavg_tempo,min_time_signature,max_time_signature,avg_time_signature,wavg_time_signature,min_valence,max_valence,avg_valence,wavg_valence
0,1959,0.000463,0.996,0.7979195015323997,0.06116110886819365,0.0,0.952,0.4843209719789839,0.037123553989428716,30040,2503120,216137.84106830123,16567.122376038267,0.00107,0.998,0.33149753721541186,0.025409526805940108,0.0,0.985,0.19656802627845904,0.015067081869955529,0,11,5.052320490367776,0.3872640322174646,0.0193,0.984,0.20353178633975458,0.015600859132477586,-42.911,3.575,-13.636535026269724,-1.0452503062337466,0,1,0.7217600700525394,0.055323433173926975,0.0,0.958,0.07480739929947448,0.005734041446430055,0.0,216.843,111.87282311733804,8.575133081634378,0,5,3.780429071803853,0.2897726319322147,0.0,0.989,0.5085343914185646,0.03897953016192633
1,1990,1.07e-06,0.996,0.3960700612038213,0.01565359821974383,0.0,0.985,0.5577513987718109,0.022043615910623086,30467,2849150,238760.98274685643,9436.382247905227,0.00251,0.999,0.5571027858465722,0.02201798123856312,0.0,0.993,0.07646039437469569,0.0030218903434075036,0,11,5.212691295447899,0.20601752865262823,0.014,0.997,0.21719658836143926,0.00858410786863147,-39.432,-0.835,-11.20570240764209,-0.44287508812482107,0,1,0.6737498781557657,0.026628142155450635,0.0,0.962,0.08864348377034792,0.0035033940094385306,0.0,246.381,119.53961136563021,4.724479911393622,0,5,3.8837118627546543,0.15349321005492464,0.0,0.99,0.5714197290184218,0.02258381970528734
2,1975,5.19e-06,0.996,0.4978832255390889,0.02156585209134618,0.0641,0.947,0.5194281264176634,0.022499071211485908,31280,3091707,230900.3898381975,10001.469018549573,0.00225,0.996,0.49470361560562504,0.02142812703049676,0.0,0.993,0.09604300603659471,0.0041601105567491145,0,11,5.158778164221987,0.22345289247535757,0.0156,0.996,0.21171757145017367,0.009170563692098127,-42.303,-1.036,-11.529653258732827,-0.49940786129742254,0,1,0.6831997580523211,0.029592852651433552,0.0223,0.965,0.09614935732647836,0.004164717171452531,34.009,212.553,117.32488099198554,5.08193668780132,1,5,3.8480266142446697,0.16667758331585286,0.0,0.994,0.5712369726296698,0.024743175565919144
3,1977,2.41e-06,0.996,0.4816381838590344,0.019875123940058262,0.0,0.955,0.5340424569949773,0.02203762155438848,30107,1750875,235609.21403562187,9722.572850968612,2.8e-05,0.996,0.5038004487745465,0.020789664723471598,0.0,0.988,0.09472721016288645,0.003908982106440197,0,11,5.108083422134267,0.21078850164584,0.016,0.997,0.22795944588217387,0.009406900017589285,-37.596,-1.697,-11.552352260618054,-0.4767155941402619,0,1,0.7008677119805146,0.028921778023469943,0.0,0.966,0.12171793271426402,0.005022772445159191,0.0,213.187,118.90166752930422,4.906557366133125,0,5,3.8410717004110215,0.15850440988014305,0.0,1.0,0.5728135484853104,0.023637536749001153
4,1924,0.000847,0.996,0.8331618904810651,2.097935997422677,0.0,0.869,0.6287686796315253,1.5832654639175239,97493,1031014,169449.30399181167,426680.33505154634,0.019,0.897,0.312313101330604,0.7864172680412377,0.0,0.993,0.21753552427840323,0.5477634206701025,0,11,3.9580348004094166,9.96649484536089,0.0353,0.905,0.20658884339815758,0.5201992268041239,-27.997,-1.06,-15.531295803480054,-39.10844329896915,0,1,0.7308085977482088,1.8402061855670044,0.0,0.965,0.5814400204708294,1.4640899484536078,0.0,213.448,113.41481780962123,285.5831881443295,0,5,3.6509723643807575,9.193298969072178,0.0,0.977,0.6101864892528139,1.5364747422680418
5,2003,1.16e-06,0.996,0.313889044057324,0.008708988344534603,0.0624,0.982,0.5918666827911465,0.01642159909539612,30480,2222355,241708.54323376465,6706.30888733052,2.03e-05,0.999,0.6398607619180097,0.01775321574030884,0.0,0.992,0.0483072872922966,0.0013403067419832197,0,11,5.309710968678195,0.14732024520938983,0.0131,0.993,0.21535970492199896,0.005975248883505409,-37.633,0.226,-7.821840367638191,-0.2170203703641559,0,1,0.632603700568388,0.01755186540997303,0.0222,0.958,0.08536615068327484,0.0023685210598897418,47.956,216.064,120.94138638287563,3.3555714808191124,1,5,3.9221187568025155,0.10882089447070166,0.0237,0.992,0.567098597170156,0.015734397763990982
6,2007,0.0,0.996,0.30773461196462293,0.008006275666174782,0.0808,0.983,0.58919699292453,0.0153290314564203,30279,3600120,241627.2699292453,6286.3729210322,0.000487,0.999,0.6594652708726412,0.017157188517624215,0.0,0.989,0.04868978564976422,0.0012667533351230172,0,11,5.337853773584905,0.13887397489745068,0.0123,0.996,0.21281712264151037,0.005536824536805505,-41.496,0.861,-7.268141273584951,-0.18909391519376056,0,1,0.6259433962264151,0.0162850559760471,0.0216,0.965,0.08341817216981087,0.002170275477614178,36.69,216.674,121.52236132075495,3.161625265767328,1,5,3.927358490566038,0.10217737457164447,1e-05,0.986,0.5560103231132053,0.01446561987832235
7,2018,0.0,0.996,0.27754633577871723,0.00659216037641023,0.0,0.984,0.6377954706841955,0.015148641823361838,4937,4548907,225810.82324153153,5363.360886609677,1.99e-05,1.0,0.6558989497265123,0.015578627817891709,0.0,1.0,0.08938914845792165,0.0021231323443418808,0,11,5.380097879282219,0.12778575498575548,0.0,0.998,0.19701094904519825,0.004679318746438682,-46.251,0.811,-7.231712791478741,-0.17176451054131062,0,1,0.5702907590442376,0.01354529914530024,0.0,0.962,0.105921955666443,0.00251581242165242,0.0,229.862,121.37084876691317,2.882747840455839,0,5,3.938489588331254,0.09354529914529032,0.0,0.987,0.49093553814413265,0.011660488303133926
8,1974,2.94e-06,0.996,0.5229348475491793,0.022950281104050438,0.0,0.946,0.5174785714285725,0.022710819015539677,30067,3153173,235631.06030312803,10341.248237991464,0.00185,0.996,0.4936152547565298,0.021663518709841845,0.0,1.0,0.10693658498710114,0.004693174871139854,0,11,5.159625927120284,0.22644286563445135,0.0188,0.995,0.21790896485004882,0.00956347051996946,-46.728,2.183,-11.652930506288323,-0.5114174969571752,0,1,0.6909061593034505,0.030322114976363352,0.0,0.967,0.09378721380199924,0.0041160823968977335,0.0,218.403,117.329356981619,5.149287214469714,0,5,3.848919703321509,0.1689193014237488,0.0,0.992,0.5806890003224774,0.025484964052195094
9,2015,0.0,0.996,0.29019760670682404,0.00765169400480936,0.0,0.985,0.5939919811764675,0.015661896501664017,29347,5042185,234384.6424470588,6180.0632465015115,0.0,1.0,0.6584502648847036,0.017361479997915392,0.0,0.999,0.09839311465411764,0.002594349464342875,0,11,5.245929411764706,0.13832039169850247,0.0,0.995,0.2142403388235297,0.005648914664621808,-44.993,1.023,-7.3550120470588585,-0.193930963885022,0,1,0.6107294117647059,0.016103215431688675,0.0,0.951,0.08605678117647092,0.0022690750763717693,0.0,216.196,121.81594691764677,3.2119436176522367,0,5,3.9175529411764707,0.10329484344715928,0.0,0.992,0.5104115924705894,0.01345811692388626
